City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,camocim,-2.9022,-40.8411,25.89,82,19,5.4,BR,1737592011
257,san patricio,28.017,-97.5169,8.97,70,77,3.07,US,1737592013
258,hami,42.8,93.45,-5.4,49,56,2.74,CN,1737591912
259,kenai,60.5544,-151.2583,4.45,87,75,8.75,US,1737592015
260,bel ombre,-4.6167,55.4167,27.57,76,97,8.13,SC,1737592016
261,remire-montjoly,4.9167,-52.2667,24.02,94,75,1.03,GF,1737591839
262,gunnison,38.7,-107.0673,-12.53,87,86,2.34,US,1737592019
263,proletarsk,46.7031,41.7192,-1.36,67,100,10.25,RU,1737592020
264,vilyuchinsk,52.9306,158.4028,-8.85,84,16,3.58,RU,1737592021
265,gadzhiyevo,69.2551,33.3362,-13.84,96,99,3.58,RU,1737592022
266,tolanaro,-25.0319,46.9987,25.04,83,75,6.17,MG,1737592023
267,magistral'nyy,56.1725,107.4458,-12.43,86,38,2.94,RU,1737592025
268,zhengjiatun,43.5064,123.5064,-9.35,70,0,1.95,CN,1737592028
269,alice springs,-23.7,133.8833,35.75,14,1,4.63,AU,1737592029
270,mili,6.0815,171.735,26.96,81,77,9.97,MH,1737592030
271,posto fiscal rolim de moura,-13.0833,-62.2667,21.46,100,100,0.46,BR,1737592031
272,funafuti,-8.5243,179.1942,26.0,94,100,0.0,TV,1737592032
273,alofi,-19.0595,-169.9187,29.94,70,75,1.54,NU,1737592033
274,weno,7.4515,151.8468,29.97,70,75,5.14,FM,1737592035
275,itaituba,-4.2761,-55.9836,22.41,99,99,0.58,BR,1737592036
276,tura,25.5198,90.2201,12.94,93,1,1.32,IN,1737591756
277,manokwari,-0.8667,134.0833,27.84,70,100,0.77,ID,1737592038
278,tazovsky,67.4667,78.7,-30.44,96,43,6.46,RU,1737592040
279,horta,38.5333,-28.6333,15.01,80,20,4.12,PT,1737592041
280,nambucca,-30.6333,152.9833,23.42,74,81,3.63,AU,1737592042
281,copala,16.65,-98.9833,25.94,68,0,2.46,MX,1737592043
282,san pedro de jujuy,-24.2313,-64.8661,25.05,94,97,0.53,AR,1737591969
283,salalah,17.0151,54.0924,21.05,23,0,4.12,OM,1737592046
284,alesund,62.4723,6.1549,2.08,94,100,4.63,NO,1737592047
285,walla walla,46.0646,-118.343,2.43,71,0,1.54,US,1737592048
286,cill airne,52.05,-9.5167,5.21,95,71,2.62,IE,1737592049
287,vadso,70.0744,29.7487,-11.91,79,100,5.14,NO,1737592050
288,kuta,-8.7233,115.1723,26.97,83,40,3.6,ID,1737592052
289,la passe,45.5549,-0.8967,8.55,91,100,4.42,FR,1737592053
290,vorgashor,67.5833,63.95,-28.61,99,100,4.21,RU,1737592055
291,veraval,20.9,70.3667,17.14,81,10,6.43,IN,1737592056
292,kirakira,-10.4544,161.9205,26.36,88,100,1.76,SB,1737591883
293,tambo,-14.8,-73.9167,4.18,94,99,3.51,PE,1737592058
294,conception bay south,47.4999,-52.9981,-9.03,68,100,7.92,CA,1737592060
295,goronyo,13.4423,5.6763,22.54,19,0,6.81,NG,1737592061
296,bamboo flat,11.7,92.7167,21.05,94,7,0.0,IN,1737592062
297,georgetown,5.4112,100.3354,26.96,91,20,3.09,MY,1737591855
298,dhidhdhoo,6.8833,73.1,27.12,74,83,2.1,MV,1737592065
299,alo,6.5486,4.2686,25.48,93,95,2.11,NG,1737592066
300,acajutla,13.5928,-89.8275,28.89,51,1,5.08,SV,1737592067
301,cam ranh,11.9214,109.1591,21.98,73,75,3.09,VN,1737592068
302,redkino,56.6475,36.2967,-2.32,83,100,5.16,RU,1737592069
303,awjilah,29.1081,21.2869,11.5,63,0,1.1,LY,1737592070
304,kathu,7.9178,98.3332,24.9,77,100,4.46,TH,1737592071
